system,date,datetime_utc,datetime_local,moon,dra_arcsec,ddec_arcsec
Jupiter,2026-12-10,2026-12-10T00:00:00,2026-12-10T10:00:00+10:00,Io,77.49,-30.96
Jupiter,2026-12-10,2026-12-10T01:00:00,2026-12-10T11:00:00+10:00,Io,65.095,-25.848
Jupiter,2026-12-10,2026-12-10T02:00:00,2026-12-10T12:00:00+10:00,Io,51.263,-20.124
Jupiter,2026-12-10,2026-12-10T03:00:00,2026-12-10T13:00:00+10:00,Io,36.277,-13.968
Jupiter,2026-12-10,2026-12-10T04:00:00,2026-12-10T14:00:00+10:00,Io,20.519,-7.488
Jupiter,2026-12-10,2026-12-10T05:00:00,2026-12-10T15:00:00+10:00,Io,4.237,-0.864
Jupiter,2026-12-10,2026-12-10T06:00:00,2026-12-10T16:00:00+10:00,Io,-12.081,5.76
Jupiter,2026-12-10,2026-12-10T07:00:00,2026-12-10T17:00:00+10:00,Io,-28.153,12.312
Jupiter,2026-12-10,2026-12-10T08:00:00,2026-12-10T18:00:00+10:00,Io,-43.63,18.54
Jupiter,2026-12-10,2026-12-10T09:00:00,2026-12-10T19:00:00+10:00,Io,-58.092,24.372
Jupiter,2026-12-10,2026-12-10T10:00:00,2026-12-10T20:00:00+10:00,Io,-71.328,29.7
Jupiter,2026-12-10,2026-12-10T11:00:00,2026-12-10T21:00:00+10:00,Io,-82.953,34.308
Jupiter,2026-12-10,2026-12-10T12:00:00,2026-12-10T22:00:00+10:00,Io,-92.757,38.232
Jupiter,2026-12-10,2026-12-10T13:00:00,2026-12-10T23:00:00+10:00,Io,-100.531,41.292
Jupiter,2026-12-10,2026-12-10T14:00:00,2026-12-11T00:00:00+10:00,Io,-106.098,43.416
Jupiter,2026-12-10,2026-12-10T15:00:00,2026-12-11T01:00:00+10:00,Io,-109.285,44.604
Jupiter,2026-12-10,2026-12-10T16:00:00,2026-12-11T02:00:00+10:00,Io,-110.16,44.82
Jupiter,2026-12-10,2026-12-10T17:00:00,2026-12-11T03:00:00+10:00,Io,-108.549,44.064
Jupiter,2026-12-10,2026-12-10T18:00:00,2026-12-11T04:00:00+10:00,Io,-104.593,42.336
Jupiter,2026-12-10,2026-12-10T19:00:00,2026-12-11T05:00:00+10:00,Io,-98.395,39.672
Jupiter,2026-12-10,2026-12-10T20:00:00,2026-12-11T06:00:00+10:00,Io,-90.026,36.144
Jupiter,2026-12-10,2026-12-10T21:00:00,2026-12-11T07:00:00+10:00,Io,-79.696,31.824
Jupiter,2026-12-10,2026-12-10T22:00:00,2026-12-11T08:00:00+10:00,Io,-67.651,26.856
Jupiter,2026-12-10,2026-12-10T23:00:00,2026-12-11T09:00:00+10:00,Io,-54.135,21.276
Jupiter,2026-12-10,2026-12-11T00:00:00,2026-12-11T10:00:00+10:00,Io,-39.463,15.228
Jupiter,2026-12-10,2026-12-10T00:00:00,2026-12-10T10:00:00+10:00,Europa,-61.698,22.14
Jupiter,2026-12-10,2026-12-10T01:00:00,2026-12-10T11:00:00+10:00,Europa,-49.373,17.1
Jupiter,2026-12-10,2026-12-10T02:00:00,2026-12-10T12:00:00+10:00,Europa,-36.767,11.916
Jupiter,2026-12-10,2026-12-10T03:00:00,2026-12-10T13:00:00+10:00,Europa,-23.951,6.732
