month,planet,best_date,best_altitude_deg,rating
2026-01,Jupiter,2026-01-02,40.49,good
2026-01,Mars,2026-01-01,86.21,excellent
2026-01,Mercury,2026-01-11,86.66,excellent
2026-01,Neptune,2026-01-02,63.91,excellent
2026-01,Saturn,2026-01-01,66.05,excellent
2026-01,Uranus,2026-01-28,43.09,good
2026-01,Venus,2026-01-06,85.46,excellent
2026-02,Jupiter,2026-02-04,39.83,good
2026-02,Mars,2026-02-01,81.72,excellent
2026-02,Mercury,2026-02-01,79.17,excellent
2026-02,Neptune,2026-02-02,63.64,excellent
2026-02,Saturn,2026-02-01,65.03,excellent
2026-02,Uranus,2026-02-04,43.09,good
2026-02,Venus,2026-02-01,79.12,excellent
2026-03,Jupiter,2026-03-29,39.61,good
2026-03,Mars,2026-03-01,75.14,excellent
2026-03,Mercury,2026-03-25,70.47,excellent
2026-03,Neptune,2026-03-05,63.21,excellent
2026-03,Saturn,2026-03-01,63.69,excellent
2026-03,Uranus,2026-03-01,42.99,good
2026-03,Venus,2026-03-01,66.26,excellent
2026-04,Jupiter,2026-04-30,39.97,good
2026-04,Mars,2026-04-01,65.97,excellent
2026-04,Mercury,2026-04-01,69.9,excellent
2026-04,Neptune,2026-04-06,62.75,excellent
2026-04,Saturn,2026-04-01,62.23,excellent
2026-04,Uranus,2026-04-01,42.77,good
2026-04,Venus,2026-04-01,50.75,excellent
2026-05,Jupiter,2026-05-31,40.77,good
2026-05,Mars,2026-05-01,56.71,excellent
2026-05,Mercury,2026-05-01,54.17,excellent
2026-05,Neptune,2026-05-01,62.4,excellent
2026-05,Saturn,2026-05-01,60.76,excellent
2026-05,Uranus,2026-05-02,42.44,good
2026-05,Venus,2026-05-01,39.85,good
2026-06,Jupiter,2026-06-30,41.9,good
2026-06,Mars,2026-06-01,48.29,excellent
2026-06,Mercury,2026-06-30,43.8,good
2026-06,Neptune,2026-06-01,62.11,excellent
2026-06,Saturn,2026-06-01,59.75,excellent
2026-06,Uranus,2026-06-03,42.06,good
2026-06,Venus,2026-06-30,45.61,excellent
2026-07,Jupiter,2026-07-31,43.4,good
2026-07,Mars,2026-07-01,42.27,good
2026-07,Mercury,2026-07-12,45.44,excellent
2026-07,Neptune,2026-07-31,62.07,excellent
2026-07,Saturn,2026-07-03,59.08,excellent
2026-07,Uranus,2026-07-05,41.72,good
2026-07,Venus,2026-07-31,59.63,excellent
2026-08,Jupiter,2026-08-31,45.09,excellent
2026-08,Mars,2026-08-31,39.12,good
2026-08,Mercury,2026-08-31,53.53,excellent
2026-08,Neptune,2026-08-31,62.32,excellent
2026-08,Saturn,2026-08-31,59.46,excellent
2026-08,Uranus,2026-08-01,41.49,good
2026-08,Venus,2026-08-31,74.31,excellent
2026-09,Jupiter,2026-09-30,46.85,excellent
2026-09,Mars,2026-09-30,41.6,good
2026-09,Mercury,2026-09-30,75.34,excellent
2026-09,Neptune,2026-09-29,62.64,excellent
2026-09,Saturn,2026-09-30,60.37,excellent
2026-09,Uranus,2026-09-30,41.42,good
2026-09,Venus,2026-09-30,83.32,excellent
2026-10,Jupiter,2026-10-31,48.39,excellent
2026-10,Mars,2026-10-31,45.56,excellent
2026-10,Mercury,2026-10-21,83.38,excellent
2026-10,Neptune,2026-10-28,62.94,excellent
2026-10,Saturn,2026-10-29,61.21,excellent
2026-10,Uranus,2026-10-30,41.56,good
2026-10,Venus,2026-10-07,83.78,excellent
2026-11,Jupiter,2026-11-25,49.08,excellent
2026-11,Mars,2026-11-30,49.42,excellent
2026-11,Mercury,2026-11-01,80.75,excellent
2026-11,Neptune,2026-11-28,63.11,excellent
2026-11,Saturn,2026-11-26,61.67,excellent
2026-11,Uranus,2026-11-27,41.77,good
2026-11,Venus,2026-11-01,77.05,excellent
2026-12,Jupiter,2026-12-10,49.2,excellent
2026-12,Mars,2026-12-31,51.58,excellent
2026-12,Mercury,2026-12-26,87.17,excellent
2026-12,Neptune,2026-12-12,63.13,excellent
2026-12,Saturn,2026-12-04,61.7,excellent
2026-12,Uranus,2026-12-26,41.98,good
2026-12,Venus,2026-12-31,77.57,excellent
