system,date,datetime_utc,datetime_local,moon,dra_arcsec,ddec_arcsec
Saturn,2026-01-01,2026-01-01T00:00:00,2026-01-01T10:00:00+10:00,Enceladus,3.628,0.288
Saturn,2026-01-01,2026-01-01T02:00:00,2026-01-01T12:00:00+10:00,Enceladus,-9.125,1.26
Saturn,2026-01-01,2026-01-01T04:00:00,2026-01-01T14:00:00+10:00,Enceladus,-20.548,2.052
Saturn,2026-01-01,2026-01-01T06:00:00,2026-01-01T16:00:00+10:00,Enceladus,-28.99,2.52
Saturn,2026-01-01,2026-01-01T08:00:00,2026-01-01T18:00:00+10:00,Enceladus,-33.158,2.664
Saturn,2026-01-01,2026-01-01T10:00:00,2026-01-01T20:00:00+10:00,Enceladus,-32.511,2.412
Saturn,2026-01-01,2026-01-01T12:00:00,2026-01-01T22:00:00+10:00,Enceladus,-27.123,1.8
Saturn,2026-01-01,2026-01-01T14:00:00,2026-01-02T00:00:00+10:00,Enceladus,-17.782,0.9
Saturn,2026-01-01,2026-01-01T16:00:00,2026-01-02T02:00:00+10:00,Enceladus,-5.856,-0.144
Saturn,2026-01-01,2026-01-01T18:00:00,2026-01-02T04:00:00+10:00,Enceladus,6.933,-1.08
Saturn,2026-01-01,2026-01-01T20:00:00,2026-01-02T06:00:00+10:00,Enceladus,18.717,-1.908
Saturn,2026-01-01,2026-01-01T22:00:00,2026-01-02T08:00:00+10:00,Enceladus,27.805,-2.484
Saturn,2026-01-01,2026-01-02T00:00:00,2026-01-02T10:00:00+10:00,Enceladus,32.943,-2.7
Saturn,2026-01-01,2026-01-01T00:00:00,2026-01-01T10:00:00+10:00,Tethys,37.504,-2.34
Saturn,2026-01-01,2026-01-01T02:00:00,2026-01-01T12:00:00+10:00,Tethys,31.074,-1.908
Saturn,2026-01-01,2026-01-01T04:00:00,2026-01-01T14:00:00+10:00,Tethys,22.201,-1.332
Saturn,2026-01-01,2026-01-01T06:00:00,2026-01-01T16:00:00+10:00,Tethys,11.711,-0.648
Saturn,2026-01-01,2026-01-01T08:00:00,2026-01-01T18:00:00+10:00,Tethys,0.323,0.108
Saturn,2026-01-01,2026-01-01T10:00:00,2026-01-01T20:00:00+10:00,Tethys,-11.1,0.864
Saturn,2026-01-01,2026-01-01T12:00:00,2026-01-01T22:00:00+10:00,Tethys,-21.698,1.512
Saturn,2026-01-01,2026-01-01T14:00:00,2026-01-02T00:00:00+10:00,Tethys,-30.643,2.052
Saturn,2026-01-01,2026-01-01T16:00:00,2026-01-02T02:00:00+10:00,Tethys,-37.181,2.448
Saturn,2026-01-01,2026-01-01T18:00:00,2026-01-02T04:00:00+10:00,Tethys,-40.918,2.664
Saturn,2026-01-01,2026-01-01T20:00:00,2026-01-02T06:00:00+10:00,Tethys,-41.528,2.664
Saturn,2026-01-01,2026-01-01T22:00:00,2026-01-02T08:00:00+10:00,Tethys,-38.978,2.484
Saturn,2026-01-01,2026-01-02T00:00:00,2026-01-02T10:00:00+10:00,Tethys,-33.41,2.052
Saturn,2026-01-01,2026-01-01T00:00:00,2026-01-01T10:00:00+10:00,Dione,-37.54,3.528
Saturn,2026-01-01,2026-01-01T02:00:00,2026-01-01T12:00:00+10:00,Dione,-44.078,3.888
Saturn,2026-01-01,2026-01-01T04:00:00,2026-01-01T14:00:00+10:00,Dione,-49.036,4.14
Saturn,2026-01-01,2026-01-01T06:00:00,2026-01-01T16:00:00+10:00,Dione,-52.197,4.212
Saturn,2026-01-01,2026-01-01T08:00:00,2026-01-01T18:00:00+10:00,Dione,-53.454,4.176
Saturn,2026-01-01,2026-01-01T10:00:00,2026-01-01T20:00:00+10:00,Dione,-52.772,3.96
Saturn,2026-01-01,2026-01-01T12:00:00,2026-01-01T22:00:00+10:00,Dione,-50.186,3.564
Saturn,2026-01-01,2026-01-01T14:00:00,2026-01-02T00:00:00+10:00,Dione,-45.803,3.06
Saturn,2026-01-01,2026-01-01T16:00:00,2026-01-02T02:00:00+10:00,Dione,-39.732,2.448
Saturn,2026-01-01,2026-01-01T18:00:00,2026-01-02T04:00:00+10:00,Dione,-32.224,1.764
Saturn,2026-01-01,2026-01-01T20:00:00,2026-01-02T06:00:00+10:00,Dione,-23.566,1.008
Saturn,2026-01-01,2026-01-01T22:00:00,2026-01-02T08:00:00+10:00,Dione,-14.046,0.216
Saturn,2026-01-01,2026-01-02T00:00:00,2026-01-02T10:00:00+10:00,Dione,-3.988,-0.612
Saturn,2026-01-01,2026-01-01T00:00:00,2026-01-01T10:00:00+10:00,Rhea,-62.938,5.652
Saturn,2026-01-01,2026-01-01T02:00:00,2026-01-01T12:00:00+10:00,Rhea,-67.141,5.868
Saturn,2026-01-01,2026-01-01T04:00:00,2026-01-01T14:00:00+10:00,Rhea,-70.446,6.048
Saturn,2026-01-01,2026-01-01T06:00:00,2026-01-01T16:00:00+10:00,Rhea,-72.781,6.12
Saturn,2026-01-01,2026-01-01T08:00:00,2026-01-01T18:00:00+10:00,Rhea,-74.111,6.156
Saturn,2026-01-01,2026-01-01T10:00:00,2026-01-01T20:00:00+10:00,Rhea,-74.47,6.084
Saturn,2026-01-01,2026-01-01T12:00:00,2026-01-01T22:00:00+10:00,Rhea,-73.859,5.904
Saturn,2026-01-01,2026-01-01T14:00:00,2026-01-02T00:00:00+10:00,Rhea,-72.243,5.652
Saturn,2026-01-01,2026-01-01T16:00:00,2026-01-02T02:00:00+10:00,Rhea,-69.657,5.328
Saturn,2026-01-01,2026-01-01T18:00:00,2026-01-02T04:00:00+10:00,Rhea,-66.1,4.968
Saturn,2026-01-01,2026-01-01T20:00:00,2026-01-02T06:00:00+10:00,Rhea,-61.718,4.5
Saturn,2026-01-01,2026-01-01T22:00:00,2026-01-02T08:00:00+10:00,Rhea,-56.473,3.96
