date,start_local,end_local,duration_minutes,max_altitude_deg,quality
2027-01-16,2027-01-16T04:33:00+10:00,2027-01-16T04:33:00+10:00,10.0,20.51,useful
2027-01-17,2027-01-17T04:29:00+10:00,2027-01-17T04:39:00+10:00,20.0,22.55,useful
2027-01-18,2027-01-18T04:24:49.827917+10:00,2027-01-18T04:34:49.827917+10:00,20.0,22.5,useful
2027-01-19,2027-01-19T04:20:00+10:00,2027-01-19T04:40:00+10:00,30.0,24.38,useful
2027-01-20,2027-01-20T04:20:00+10:00,2027-01-20T04:40:00+10:00,30.0,25.19,excellent
2027-01-21,2027-01-21T04:20:00+10:00,2027-01-21T04:40:00+10:00,30.0,26.01,excellent
2027-01-22,2027-01-22T04:07:00+10:00,2027-01-22T04:37:00+10:00,40.0,26.21,excellent
2027-01-28,2027-01-28T03:51:26.706593+10:00,2027-01-28T04:41:26.706593+10:00,60.0,32.08,excellent
2027-02-01,2027-02-01T03:29:22.917266+10:00,2027-02-01T04:49:22.917266+10:00,90.0,37.09,excellent
2027-02-02,2027-02-02T03:28:48.427573+10:00,2027-02-02T04:48:48.427573+10:00,90.0,37.81,excellent
2027-02-03,2027-02-03T03:28:12.568510+10:00,2027-02-03T04:48:12.568510+10:00,90.0,38.52,excellent
2027-02-04,2027-02-04T03:17:35.365053+10:00,2027-02-04T04:47:35.365053+10:00,100.0,39.22,excellent
2027-02-05,2027-02-05T03:16:56.842792+10:00,2027-02-05T04:46:56.842792+10:00,100.0,39.93,excellent
2027-02-06,2027-02-06T03:16:17.027888+10:00,2027-02-06T04:56:17.027888+10:00,110.0,42.77,excellent
2027-02-07,2027-02-07T03:05:35.947036+10:00,2027-02-07T04:55:35.947036+10:00,120.0,43.46,excellent
2027-02-08,2027-02-08T03:04:53.627426+10:00,2027-02-08T04:54:53.627426+10:00,120.0,44.16,excellent
2027-02-09,2027-02-09T03:04:10.096706+10:00,2027-02-09T04:54:10.096706+10:00,120.0,44.85,excellent
