month,planet,best_date,best_altitude_deg,rating
2027-01,Jupiter,2027-01-01,48.92,excellent
2027-01,Mars,2027-01-01,51.59,excellent
2027-01,Mercury,2027-01-03,87.01,excellent
2027-01,Neptune,2027-01-04,63.06,excellent
2027-01,Saturn,2027-01-03,61.4,excellent
2027-01,Uranus,2027-01-25,42.12,good
2027-01,Venus,2027-01-31,82.97,excellent
2027-02,Jupiter,2027-02-01,47.73,excellent
2027-02,Mars,2027-02-01,49.69,excellent
2027-02,Mercury,2027-02-28,74.17,excellent
2027-02,Neptune,2027-02-04,62.78,excellent
2027-02,Saturn,2027-02-04,60.45,excellent
2027-02,Uranus,2027-02-09,42.13,good
2027-02,Venus,2027-02-10,83.76,excellent
2027-03,Jupiter,2027-03-02,46.5,excellent
2027-03,Mars,2027-03-01,45.77,excellent
2027-03,Mercury,2027-03-08,75.82,excellent
2027-03,Neptune,2027-03-01,62.46,excellent
2027-03,Saturn,2027-03-01,59.4,excellent
2027-03,Uranus,2027-03-04,42.08,good
2027-03,Venus,2027-03-01,81.67,excellent
2027-04,Jupiter,2027-04-30,45.91,excellent
2027-04,Mars,2027-04-30,47.35,excellent
2027-04,Mercury,2027-04-01,69.62,excellent
2027-04,Neptune,2027-04-01,62.01,excellent
2027-04,Saturn,2027-04-01,57.79,excellent
2027-04,Uranus,2027-04-04,41.87,good
2027-04,Venus,2027-04-01,72.12,excellent
2027-05,Jupiter,2027-05-29,46.77,excellent
2027-05,Mars,2027-05-31,52.23,excellent
2027-05,Mercury,2027-05-01,46.64,excellent
2027-05,Neptune,2027-05-02,61.58,excellent
2027-05,Saturn,2027-05-01,56.54,excellent
2027-05,Uranus,2027-05-01,41.57,good
2027-05,Venus,2027-05-01,58.81,excellent
2027-06,Jupiter,2027-06-30,48.41,excellent
2027-06,Mars,2027-06-30,58.42,excellent
2027-06,Mercury,2027-06-30,43.7,good
2027-06,Neptune,2027-06-03,61.27,excellent
2027-06,Saturn,2027-06-03,55.22,excellent
2027-06,Uranus,2027-06-01,41.29,good
2027-06,Venus,2027-06-01,45.72,excellent
2027-07,Jupiter,2027-07-31,50.53,excellent
2027-07,Mars,2027-07-31,65.9,excellent
2027-07,Mercury,2027-07-02,43.75,good
2027-07,Neptune,2027-07-27,61.19,excellent
2027-07,Saturn,2027-07-01,54.49,excellent
2027-07,Uranus,2027-07-02,40.99,good
2027-07,Venus,2027-07-31,42.31,good
2027-08,Jupiter,2027-08-31,52.87,excellent
2027-08,Mars,2027-08-31,73.77,excellent
2027-08,Mercury,2027-08-31,59.91,excellent
2027-08,Neptune,2027-08-26,61.4,excellent
2027-08,Saturn,2027-08-31,54.42,excellent
2027-08,Uranus,2027-08-03,40.77,good
2027-08,Venus,2027-08-31,54.31,excellent
2027-09,Jupiter,2027-09-30,55.19,excellent
2027-09,Mars,2027-09-30,80.14,excellent
2027-09,Mercury,2027-09-30,77.62,excellent
2027-09,Neptune,2027-09-30,61.77,excellent
2027-09,Saturn,2027-09-30,55.08,excellent
2027-09,Uranus,2027-09-27,40.66,good
2027-09,Venus,2027-09-30,69.46,excellent
2027-10,Jupiter,2027-10-31,57.59,excellent
2027-10,Mars,2027-10-31,84.69,excellent
2027-10,Mercury,2027-10-06,78.89,excellent
2027-10,Neptune,2027-10-31,62.09,excellent
2027-10,Saturn,2027-10-31,55.91,excellent
2027-10,Uranus,2027-10-27,40.75,good
2027-10,Venus,2027-10-31,82.57,excellent
2027-11,Jupiter,2027-11-30,59.33,excellent
2027-11,Mars,2027-11-26,86.94,excellent
2027-11,Mercury,2027-11-30,82.5,excellent
2027-11,Neptune,2027-11-30,62.26,excellent
2027-11,Saturn,2027-11-30,56.58,excellent
2027-11,Uranus,2027-11-30,40.94,good
2027-11,Venus,2027-11-25,87.25,excellent
2027-12,Jupiter,2027-12-31,60.24,excellent
2027-12,Mars,2027-12-01,86.82,excellent
2027-12,Mercury,2027-12-19,87.62,excellent
2027-12,Neptune,2027-12-15,62.28,excellent
2027-12,Saturn,2027-12-16,56.7,excellent
2027-12,Uranus,2027-12-31,41.15,good
2027-12,Venus,2027-12-01,86.49,excellent
