system,date,datetime_utc,datetime_local,moon,dra_arcsec,ddec_arcsec
Saturn,2027-01-03,2027-01-03T00:00:00,2027-01-03T10:00:00+10:00,Enceladus,33.332,-0.9
Saturn,2027-01-03,2027-01-03T02:00:00,2027-01-03T12:00:00+10:00,Enceladus,27.284,0.756
Saturn,2027-01-03,2027-01-03T04:00:00,2027-01-03T14:00:00+10:00,Enceladus,17.35,2.34
Saturn,2027-01-03,2027-01-03T06:00:00,2027-01-03T16:00:00+10:00,Enceladus,4.895,3.564
Saturn,2027-01-03,2027-01-03T08:00:00,2027-01-03T18:00:00+10:00,Enceladus,-8.243,4.284
Saturn,2027-01-03,2027-01-03T10:00:00,2027-01-03T20:00:00+10:00,Enceladus,-20.193,4.356
Saturn,2027-01-03,2027-01-03T12:00:00,2027-01-03T22:00:00+10:00,Enceladus,-29.264,3.852
Saturn,2027-01-03,2027-01-03T14:00:00,2027-01-04T00:00:00+10:00,Enceladus,-34.159,2.772
Saturn,2027-01-03,2027-01-03T16:00:00,2027-01-04T02:00:00+10:00,Enceladus,-34.195,1.332
Saturn,2027-01-03,2027-01-03T18:00:00,2027-01-04T04:00:00+10:00,Enceladus,-29.3,-0.36
Saturn,2027-01-03,2027-01-03T20:00:00,2027-01-04T06:00:00+10:00,Enceladus,-20.193,-1.944
Saturn,2027-01-03,2027-01-03T22:00:00,2027-01-04T08:00:00+10:00,Enceladus,-8.135,-3.276
Saturn,2027-01-03,2027-01-04T00:00:00,2027-01-04T10:00:00+10:00,Enceladus,5.075,-4.104
Saturn,2027-01-03,2027-01-03T00:00:00,2027-01-03T10:00:00+10:00,Tethys,-40.711,4.284
Saturn,2027-01-03,2027-01-03T02:00:00,2027-01-03T12:00:00+10:00,Tethys,-42.942,3.276
Saturn,2027-01-03,2027-01-03T04:00:00,2027-01-03T14:00:00+10:00,Tethys,-41.862,2.052
Saturn,2027-01-03,2027-01-03T06:00:00,2027-01-03T16:00:00+10:00,Tethys,-37.651,0.684
Saturn,2027-01-03,2027-01-03T08:00:00,2027-01-03T18:00:00+10:00,Tethys,-30.524,-0.756
Saturn,2027-01-03,2027-01-03T10:00:00,2027-01-03T20:00:00+10:00,Tethys,-21.093,-2.16
Saturn,2027-01-03,2027-01-03T12:00:00,2027-01-03T22:00:00+10:00,Tethys,-10.007,-3.348
Saturn,2027-01-03,2027-01-03T14:00:00,2027-01-04T00:00:00+10:00,Tethys,1.8,-4.32
Saturn,2027-01-03,2027-01-03T16:00:00,2027-01-04T02:00:00+10:00,Tethys,13.462,-4.968
Saturn,2027-01-03,2027-01-03T18:00:00,2027-01-04T04:00:00+10:00,Tethys,24.117,-5.22
Saturn,2027-01-03,2027-01-03T20:00:00,2027-01-04T06:00:00+10:00,Tethys,32.899,-5.076
Saturn,2027-01-03,2027-01-03T22:00:00,2027-01-04T08:00:00+10:00,Tethys,39.199,-4.536
Saturn,2027-01-03,2027-01-04T00:00:00,2027-01-04T10:00:00+10:00,Tethys,42.474,-3.636
Saturn,2027-01-03,2027-01-03T00:00:00,2027-01-03T10:00:00+10:00,Dione,-50.789,5.436
