date,dusk_astronomical_local,dawn_astronomical_local
2027-01-01,2027-01-01T19:14:34.287309+10:00,2027-01-01T04:27:47.379546+10:00
2027-01-02,2027-01-02T19:14:47.646766+10:00,2027-01-02T04:28:29.671031+10:00
2027-01-03,2027-01-03T19:14:59.391090+10:00,2027-01-03T04:29:12.931129+10:00
2027-01-04,2027-01-04T19:15:09.506803+10:00,2027-01-04T04:29:57.114585+10:00
2027-01-05,2027-01-05T19:15:17.982204+10:00,2027-01-05T04:30:42.175583+10:00
2027-01-06,2027-01-06T19:15:24.807352+10:00,2027-01-06T04:31:28.067842+10:00
2027-01-07,2027-01-07T19:15:29.974059+10:00,2027-01-07T04:32:14.744717+10:00
2027-01-08,2027-01-08T19:15:33.475864+10:00,2027-01-08T04:33:02.159303+10:00
2027-01-09,2027-01-09T19:15:35.308017+10:00,2027-01-09T04:33:50.264529+10:00
2027-01-10,2027-01-10T19:15:35.467447+10:00,2027-01-10T04:34:39.013266+10:00
2027-01-11,2027-01-11T19:15:33.952740+10:00,2027-01-11T04:35:28.358421+10:00
2027-01-12,2027-01-12T19:15:30.764098+10:00,2027-01-12T04:36:18.253042+10:00
2027-01-13,2027-01-13T19:15:25.903312+10:00,2027-01-13T04:37:08.650409+10:00
2027-01-14,2027-01-14T19:15:19.373722+10:00,2027-01-14T04:37:59.504135+10:00
2027-01-15,2027-01-15T19:15:11.180176+10:00,2027-01-15T04:38:50.768256+10:00
2027-01-16,2027-01-16T19:15:01.328993+10:00,2027-01-16T04:39:42.397321+10:00
2027-01-17,2027-01-17T19:14:49.827917+10:00,2027-01-17T04:40:34.346484+10:00
2027-01-18,2027-01-18T19:14:36.686076+10:00,2027-01-18T04:41:26.571582+10:00
2027-01-19,2027-01-19T19:14:21.913935+10:00,2027-01-19T04:42:19.029218+10:00
2027-01-20,2027-01-20T19:14:05.523250+10:00,2027-01-20T04:43:11.676842+10:00
2027-01-21,2027-01-21T19:13:47.527025+10:00,2027-01-21T04:44:04.472814+10:00
2027-01-22,2027-01-22T19:13:27.939461+10:00,2027-01-22T04:44:57.376483+10:00
2027-01-23,2027-01-23T19:13:06.775911+10:00,2027-01-23T04:45:50.348244+10:00
2027-01-24,2027-01-24T19:12:44.052834+10:00,2027-01-24T04:46:43.349596+10:00
2027-01-25,2027-01-25T19:12:19.787744+10:00,2027-01-25T04:47:36.343204+10:00
2027-01-26,2027-01-26T19:11:53.999167+10:00,2027-01-26T04:48:29.292942+10:00
2027-01-27,2027-01-27T19:11:26.706593+10:00,2027-01-27T04:49:22.163941+10:00
2027-01-28,2027-01-28T19:10:57.930428+10:00,2027-01-28T04:50:14.922626+10:00
2027-01-29,2027-01-29T19:10:27.691951+10:00,2027-01-29T04:51:07.536758+10:00
2027-01-30,2027-01-30T19:09:56.013268+10:00,2027-01-30T04:51:59.975455+10:00
2027-01-31,2027-01-31T19:09:22.917266+10:00,2027-01-31T04:52:52.209227+10:00
2027-02-01,2027-02-01T19:08:48.427573+10:00,2027-02-01T04:53:44.209991+10:00
2027-02-02,2027-02-02T19:08:12.568510+10:00,2027-02-02T04:54:35.951087+10:00
2027-02-03,2027-02-03T19:07:35.365053+10:00,2027-02-03T04:55:27.407296+10:00
2027-02-04,2027-02-04T19:06:56.842792+10:00,2027-02-04T04:56:18.554841+10:00
2027-02-05,2027-02-05T19:06:17.027888+10:00,2027-02-05T04:57:09.371393+10:00
2027-02-06,2027-02-06T19:05:35.947036+10:00,2027-02-06T04:57:59.836073+10:00
2027-02-07,2027-02-07T19:04:53.627426+10:00,2027-02-07T04:58:49.929441+10:00
2027-02-08,2027-02-08T19:04:10.096706+10:00,2027-02-08T04:59:39.633495+10:00
2027-02-09,2027-02-09T19:03:25.382947+10:00,2027-02-09T05:00:28.931654+10:00
