target,best_datetime_utc,best_datetime_local,best_altitude_deg,best_apmag,solar_elong_deg,score,rating,amateur_chaseable,source,calc_status,magnitude_note
10P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
11P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
12P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
13P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
14P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
15P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
16P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
17P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
18D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
19P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
1P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
20D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
21P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
22P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
23P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
24P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
25D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
26P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
27P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
28P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
29P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
2P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
30P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
31P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
32P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
33P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
34D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
35P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
36P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
37P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
38P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
39P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
3D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
40P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
41P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
42P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
43P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
44P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
45P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
46P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
47P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
48P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
49P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
4P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
50P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
51P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
51P-A,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
51P-D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
52P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
53P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
54P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
55P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
56P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
57P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
57P-A,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
5D,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
6P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
7P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
8P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
9P,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
C/2023 A3,,,,,,0,query_failed,False,computed_catalog,query_failed,Predicted magnitude; uncertain.
