date,start_local,end_local,duration_minutes,moon_illumination_fraction
2027-01-01,2027-01-01T19:14:34.287309+10:00,2027-01-02T04:27:47.379546+10:00,553.2,0.453
2027-01-02,2027-01-02T19:14:47.646766+10:00,2027-01-03T04:28:29.671031+10:00,553.7,0.364
2027-01-03,2027-01-03T19:14:59.391090+10:00,2027-01-04T04:29:12.931129+10:00,554.2,0.272
2027-01-04,2027-01-04T19:15:09.506803+10:00,2027-01-05T04:29:57.114585+10:00,554.8,0.195
2027-01-05,2027-01-05T19:15:17.982204+10:00,2027-01-06T04:30:42.175583+10:00,555.4,0.128
2027-01-06,2027-01-06T19:15:24.807352+10:00,2027-01-07T04:31:28.067842+10:00,556.1,0.078
2027-01-07,2027-01-07T19:15:29.974059+10:00,2027-01-08T04:32:14.744717+10:00,556.7,0.037
2027-01-08,2027-01-08T19:15:33.475864+10:00,2027-01-09T04:33:02.159303+10:00,557.5,0.004
2027-01-09,2027-01-09T19:15:35.308017+10:00,2027-01-10T04:33:50.264529+10:00,558.2,0.023
2027-01-10,2027-01-10T19:15:35.467447+10:00,2027-01-11T04:34:39.013266+10:00,559.1,0.058
2027-01-11,2027-01-11T19:15:33.952740+10:00,2027-01-12T04:35:28.358421+10:00,559.9,0.108
2027-01-12,2027-01-12T19:15:30.764098+10:00,2027-01-13T04:36:18.253042+10:00,560.8,0.17
2027-01-13,2027-01-13T19:15:25.903312+10:00,2027-01-14T04:37:08.650409+10:00,561.7,0.244
2027-01-14,2027-01-14T22:21:00+10:00,2027-01-15T04:37:59.504135+10:00,377.0,0.326
2027-01-15,2027-01-15T22:53:00+10:00,2027-01-16T04:38:50.768256+10:00,345.8,0.422
2027-01-16,2027-01-16T23:29:00+10:00,2027-01-17T04:39:42.397321+10:00,310.7,0.529
2027-01-17,2027-01-17T19:14:49.827917+10:00,2027-01-18T04:40:34.346484+10:00,565.7,0.627
2027-01-18,2027-01-19T00:10:00+10:00,2027-01-19T04:41:26.571582+10:00,271.4,0.727
