date,planet,best_time_local,max_altitude_deg,visibility_rating
2027-01-01,Mercury,2027-01-01T12:00:00+10:00,86.5,excellent
2027-01-01,Venus,2027-01-01T08:30:00+10:00,77.81,excellent
2027-01-01,Mars,2027-01-01T04:00:00+10:00,51.59,excellent
2027-01-01,Jupiter,2027-01-01T03:00:00+10:00,48.92,excellent
2027-01-01,Saturn,2027-01-01T17:30:00+10:00,61.35,excellent
2027-01-01,Uranus,2027-01-01T21:00:00+10:00,42.0,good
2027-01-01,Neptune,2027-01-01T17:00:00+10:00,62.88,excellent
2027-01-02,Mercury,2027-01-02T12:00:00+10:00,86.83,excellent
2027-01-02,Venus,2027-01-02T08:30:00+10:00,78.05,excellent
2027-01-02,Mars,2027-01-02T04:00:00+10:00,51.58,excellent
2027-01-02,Jupiter,2027-01-02T03:00:00+10:00,48.9,excellent
2027-01-02,Saturn,2027-01-02T17:30:00+10:00,61.39,excellent
2027-01-02,Uranus,2027-01-02T21:00:00+10:00,42.03,good
2027-01-02,Neptune,2027-01-02T17:00:00+10:00,62.97,excellent
2027-01-03,Mercury,2027-01-03T12:00:00+10:00,87.01,excellent
2027-01-03,Venus,2027-01-03T08:30:00+10:00,78.28,excellent
2027-01-03,Mars,2027-01-03T04:00:00+10:00,51.55,excellent
2027-01-03,Jupiter,2027-01-03T03:00:00+10:00,48.86,excellent
2027-01-03,Saturn,2027-01-03T17:30:00+10:00,61.4,excellent
2027-01-03,Uranus,2027-01-03T21:00:00+10:00,42.03,good
2027-01-03,Neptune,2027-01-03T17:00:00+10:00,63.03,excellent
2027-01-04,Mercury,2027-01-04T12:00:00+10:00,86.99,excellent
2027-01-04,Venus,2027-01-04T08:30:00+10:00,78.52,excellent
2027-01-04,Mars,2027-01-04T04:00:00+10:00,51.49,excellent
2027-01-04,Jupiter,2027-01-04T03:00:00+10:00,48.79,excellent
2027-01-04,Saturn,2027-01-04T17:30:00+10:00,61.38,excellent
2027-01-04,Uranus,2027-01-04T21:00:00+10:00,42.01,good
2027-01-04,Neptune,2027-01-04T17:00:00+10:00,63.06,excellent
2027-01-05,Mercury,2027-01-05T12:00:00+10:00,86.79,excellent
2027-01-05,Venus,2027-01-05T08:30:00+10:00,78.74,excellent
2027-01-05,Mars,2027-01-05T03:30:00+10:00,51.47,excellent
2027-01-05,Jupiter,2027-01-05T03:00:00+10:00,48.7,excellent
2027-01-05,Saturn,2027-01-05T17:30:00+10:00,61.34,excellent
2027-01-05,Uranus,2027-01-05T21:00:00+10:00,41.97,good
2027-01-05,Neptune,2027-01-05T17:00:00+10:00,63.05,excellent
2027-01-06,Mercury,2027-01-06T12:00:00+10:00,86.42,excellent
2027-01-06,Venus,2027-01-06T08:30:00+10:00,78.97,excellent
2027-01-06,Mars,2027-01-06T03:30:00+10:00,51.53,excellent
2027-01-06,Jupiter,2027-01-06T02:30:00+10:00,48.68,excellent
2027-01-06,Saturn,2027-01-06T17:30:00+10:00,61.26,excellent
2027-01-06,Uranus,2027-01-06T21:00:00+10:00,41.91,good
2027-01-06,Neptune,2027-01-06T17:00:00+10:00,63.01,excellent
2027-01-07,Mercury,2027-01-07T12:00:00+10:00,85.93,excellent
2027-01-07,Venus,2027-01-07T08:30:00+10:00,79.19,excellent
2027-01-07,Mars,2027-01-07T03:30:00+10:00,51.56,excellent
2027-01-07,Jupiter,2027-01-07T02:30:00+10:00,48.72,excellent
2027-01-07,Saturn,2027-01-07T17:30:00+10:00,61.15,excellent
2027-01-07,Uranus,2027-01-07T20:30:00+10:00,41.98,good
2027-01-07,Neptune,2027-01-07T17:00:00+10:00,62.94,excellent
2027-01-08,Mercury,2027-01-08T12:00:00+10:00,85.34,excellent
2027-01-08,Venus,2027-01-08T08:30:00+10:00,79.41,excellent
2027-01-08,Mars,2027-01-08T03:30:00+10:00,51.57,excellent
2027-01-08,Jupiter,2027-01-08T02:30:00+10:00,48.72,excellent
2027-01-08,Saturn,2027-01-08T17:00:00+10:00,61.12,excellent
2027-01-08,Uranus,2027-01-08T20:30:00+10:00,42.03,good
2027-01-08,Neptune,2027-01-08T17:00:00+10:00,62.84,excellent
2027-01-09,Mercury,2027-01-09T12:30:00+10:00,84.85,excellent
2027-01-09,Venus,2027-01-09T08:30:00+10:00,79.62,excellent
2027-01-09,Mars,2027-01-09T03:30:00+10:00,51.55,excellent
2027-01-09,Jupiter,2027-01-09T02:30:00+10:00,48.71,excellent
2027-01-09,Saturn,2027-01-09T17:00:00+10:00,61.19,excellent
2027-01-09,Uranus,2027-01-09T20:30:00+10:00,42.06,good
2027-01-09,Neptune,2027-01-09T16:30:00+10:00,62.86,excellent
2027-01-10,Mercury,2027-01-10T12:30:00+10:00,85.04,excellent
2027-01-10,Venus,2027-01-10T08:30:00+10:00,79.83,excellent
