kind,source_page_key,source_page_url,original_url,local_path,mime_type,bytes,sha256,width,height,note
html_page,repair,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-repair.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-repair.html,raw_html/zenit-12xp-repair.html,text/html,33588,a2b1e3376a501be4e4b5d39e07cd5e0d50773c9cc7cef06511c9ae8f42fdad44,,,raw HTML saved as UTF-8 decoded text
image_or_linked_asset,repair,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-repair.html,https://www.zenitcamera.com/mans/zenit-12xp/r0.jpg,images/repair/repair_asset-001_r0.jpg,image/jpeg,1340,85213dd09cce16e5433e2b5721a98c6463306d9b58764be2dfd5c486de869c37,139,195,inline image
image_or_linked_asset,repair,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-repair.html,https://www.zenitcamera.com/mans/zenit-12xp/sch-elprmont.tif,images/repair/repair_asset-002_sch-elprmont.tif,image/tiff,49256,700aa6ba8679149f7fc139b9ee3e29a5a522576fa701a0abb613b30b34e22170,2892,1768,direct linked image/TIFF asset
html_page,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,raw_html/zenit-12xp-catalog.html,text/html,7946,b50d373f4638433fd72030c6f8a1f5e1e57a3295e5daec32c8c56a983ca11640,,,raw HTML saved as UTF-8 decoded text
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/c0.jpg,images/catalog/catalog_asset-001_c0.jpg,image/jpeg,10481,28c8d758b7967d880fbd2f4b87569fa7fcc1fbfd063a63e7db074654061725ed,236,319,inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p1.tif,images/catalog/catalog_asset-002_zenit-12xp-catalog-p1.tif,image/tiff,29996,1935dc5046c9fc6adba3af0633e8aab02956734a4b06d1f04505a3b12b5de3ee,2386,3265,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p2.tif,images/catalog/catalog_asset-004_zenit-12xp-catalog-p2.tif,image/tiff,48669,17c9871034cd6132c9f6e931f9be8070d4c4ee3d631d3425264263db6c697b19,2386,3265,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p3.tif,images/catalog/catalog_asset-006_zenit-12xp-catalog-p3.tif,image/tiff,23969,1b9edde7c42c1cd08a6b4f0cf50fd1445398c61d9e5e300dfa63778f7f707e97,2386,3265,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p4.tif,images/catalog/catalog_asset-008_zenit-12xp-catalog-p4.tif,image/tiff,58303,6b70c6db068f4ef5e6d660bf863046abbaa83b759b5040d7b0249ebf8feb0af7,2386,3265,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p5.tif,images/catalog/catalog_asset-010_zenit-12xp-catalog-p5.tif,image/tiff,50799,9fb453b168af9607f327121dd77493dcb3671a242fe9fb0c0007a78fc661b217,3265,2386,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p6.tif,images/catalog/catalog_asset-012_zenit-12xp-catalog-p6.tif,image/tiff,58650,a19f07f432bc7215cb4160ab6b50d5242a25e0556b789b20c1ea136adeae7add,2386,3265,linked full-size image preferred over inline image
image_or_linked_asset,catalog,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp-catalog-p7.tif,images/catalog/catalog_asset-014_zenit-12xp-catalog-p7.tif,image/tiff,50553,3bf1387917911a73b4de3aac97c2f9bfacbf96fd36d60e39ca703a6196bbc784,3265,2386,linked full-size image preferred over inline image
html_page,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,raw_html/zenit-12xp-user-manual.html,text/html,31055,08e15ff5504caee58b653e8b54f857abb8e366d0cfd3c354dab8accbefd27306,,,raw HTML saved as UTF-8 decoded text
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/s0.jpg,images/user-manual/user-manual_asset-001_s0.jpg,image/jpeg,5854,c2b398ff426c0430ef75cf2d4c813ffdcbb92d1c146b6384f02c994108777c84,227,160,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-1.jpg,images/user-manual/user-manual_asset-002_pict3-1.jpg,image/jpeg,12125,7f54f730edf1fdaad960b3235d644f284656b073fc721c127c3d87b360df33f8,283,259,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-2.jpg,images/user-manual/user-manual_asset-003_pict3-2.jpg,image/jpeg,9095,a68a45c17f8cd2b13a314cb80adb60997ffd98e601eaa82ce1d4e28c490c49c3,287,240,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-3.jpg,images/user-manual/user-manual_asset-004_pict3-3.jpg,image/jpeg,12453,2f9d476a88b77f20a6153c30b4706d3856d5ca07e550d9435ee3d8a9f538d0a1,427,201,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-4.jpg,images/user-manual/user-manual_asset-005_pict3-4.jpg,image/jpeg,5468,b01b35aeb88dc971cabdd198dd15ad2b256ff7f65141615d0f37ba7df9c2ef69,281,114,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-6.jpg,images/user-manual/user-manual_asset-006_pict3-6.jpg,image/jpeg,4251,636d7c6fb688814cb7d2f903179c1945f389bead3d05c60ac22dac0dcc934159,165,157,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict3-5.jpg,images/user-manual/user-manual_asset-007_pict3-5.jpg,image/jpeg,2543,7650ba8a7bdc1a0a2f0619793a4dbe5ddb8b770669dc223bd1f2adcb493fcdbb,150,100,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-1.jpg,images/user-manual/user-manual_asset-008_pict4-1.jpg,image/jpeg,3058,45722f6c22d8baa349c0f35dc311c44a523b1e04e9eaf8a275b25f7002680043,145,82,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-2.jpg,images/user-manual/user-manual_asset-009_pict4-2.jpg,image/jpeg,2293,a315731e8ace83bef6d32c7bf17d83759705e474b41cf5228ad8f0e35987170f,126,83,inline image
image_or_linked_asset,user-manual,https://www.zenitcamera.com/mans/zenit-12xp/zenit-12xp.html,https://www.zenitcamera.com/mans/zenit-12xp/pict4-3.jpg,images/user-manual/user-manual_asset-010_pict4-3.jpg,image/jpeg,1435,903672604a7f2e660ffee09b28daf05bca33cf0d64e4b9a10fadfa1ea47b7482,122,76,inline image
