document,section_or_caption,original_asset,local_path,width,height,placement,note
repair,Электрическая принципиальная и электромонтажная схемы,sch-elprmont.tif,images/repair/repair_asset-002_sch-elprmont.tif,2892.0,1768.0,At/under heading: Электрическая принципиальная и электромонтажная схемы,direct linked image/TIFF asset
repair,ZENIT-12xp/sd Repair guide cover,r0.jpg,images/repair/repair_asset-001_r0.jpg,139.0,195.0,At original inline image position; nearest heading/caption: ZENIT-12xp/sd Repair guide cover,inline image
catalog,Рисунок 1,zenit-12xp-catalog-p1.tif,images/catalog/catalog_asset-002_zenit-12xp-catalog-p1.tif,2386.0,3265.0,At/under heading: Рисунок 1,linked full-size image preferred over inline image
catalog,Рисунок 2,zenit-12xp-catalog-p2.tif,images/catalog/catalog_asset-004_zenit-12xp-catalog-p2.tif,2386.0,3265.0,At/under heading: Рисунок 2,linked full-size image preferred over inline image
catalog,Рисунок 3,zenit-12xp-catalog-p3.tif,images/catalog/catalog_asset-006_zenit-12xp-catalog-p3.tif,2386.0,3265.0,At/under heading: Рисунок 3,linked full-size image preferred over inline image
catalog,Рисунок 4,zenit-12xp-catalog-p4.tif,images/catalog/catalog_asset-008_zenit-12xp-catalog-p4.tif,2386.0,3265.0,At/under heading: Рисунок 4,linked full-size image preferred over inline image
catalog,Рисунок 5,zenit-12xp-catalog-p5.tif,images/catalog/catalog_asset-010_zenit-12xp-catalog-p5.tif,3265.0,2386.0,At/under heading: Рисунок 5,linked full-size image preferred over inline image
catalog,Рисунок 6,zenit-12xp-catalog-p6.tif,images/catalog/catalog_asset-012_zenit-12xp-catalog-p6.tif,2386.0,3265.0,At/under heading: Рисунок 6,linked full-size image preferred over inline image
catalog,Рисунок 7,zenit-12xp-catalog-p7.tif,images/catalog/catalog_asset-014_zenit-12xp-catalog-p7.tif,3265.0,2386.0,At/under heading: Рисунок 7,linked full-size image preferred over inline image
catalog,ZENIT-12sd/12xp catalogue,c0.jpg,images/catalog/catalog_asset-001_c0.jpg,236.0,319.0,At original inline image position; nearest heading/caption: ZENIT-12sd/12xp catalogue,inline image
user-manual,ZENIT-12xp User guide cover,s0.jpg,images/user-manual/user-manual_asset-001_s0.jpg,227.0,160.0,At original inline image position; nearest heading/caption: ZENIT-12xp User guide cover,inline image
user-manual,Рис. 3.1,pict3-1.jpg,images/user-manual/user-manual_asset-002_pict3-1.jpg,283.0,259.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 3.2,pict3-2.jpg,images/user-manual/user-manual_asset-003_pict3-2.jpg,287.0,240.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 3.3,pict3-3.jpg,images/user-manual/user-manual_asset-004_pict3-3.jpg,427.0,201.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 3.4,pict3-4.jpg,images/user-manual/user-manual_asset-005_pict3-4.jpg,281.0,114.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 3.6,pict3-6.jpg,images/user-manual/user-manual_asset-006_pict3-6.jpg,165.0,157.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 3.5,pict3-5.jpg,images/user-manual/user-manual_asset-007_pict3-5.jpg,150.0,100.0,At original inline image position; nearest heading/caption: 3. Устройство фотоаппарата,inline image
user-manual,Рис. 4.1,pict4-1.jpg,images/user-manual/user-manual_asset-008_pict4-1.jpg,145.0,82.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.2,pict4-2.jpg,images/user-manual/user-manual_asset-009_pict4-2.jpg,126.0,83.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.3,pict4-3.jpg,images/user-manual/user-manual_asset-010_pict4-3.jpg,122.0,76.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.4,pict4-4.jpg,images/user-manual/user-manual_asset-011_pict4-4.jpg,127.0,85.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.5,pict4-5.jpg,images/user-manual/user-manual_asset-012_pict4-5.jpg,138.0,85.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.6,pict4-6.jpg,images/user-manual/user-manual_asset-013_pict4-6.jpg,125.0,84.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.7,pict4-7.jpg,images/user-manual/user-manual_asset-014_pict4-7.jpg,158.0,106.0,At original inline image position; nearest heading/caption: 4.1. Зарядка фотоаппарата,inline image
user-manual,Рис. 4.8,pict4-8.jpg,images/user-manual/user-manual_asset-015_pict4-8.jpg,157.0,103.0,At original inline image position; nearest heading/caption: 4.2. Установка выдержки,inline image
user-manual,Рис. 4.9,pict4-9.jpg,images/user-manual/user-manual_asset-016_pict4-9.jpg,158.0,109.0,At original inline image position; nearest heading/caption: 4.4. Наводка на резкость,inline image
user-manual,Рис. 4.10,pict4-10.jpg,images/user-manual/user-manual_asset-017_pict4-10.jpg,458.0,99.0,At original inline image position; nearest heading/caption: 4.5. Установка экспозиции с помощью экспонометрического устройства,inline image
user-manual,Рис. 4.11,pict4-11.jpg,images/user-manual/user-manual_asset-018_pict4-11.jpg,156.0,113.0,At original inline image position; nearest heading/caption: 4.7. Разрядка фотоаппарата,inline image
user-manual,Рис. 4.12,pict4-12.jpg,images/user-manual/user-manual_asset-019_pict4-12.jpg,158.0,180.0,At original inline image position; nearest heading/caption: 4.8. Фотографирование с автоспуском,inline image
user-manual,Рис. 4.13,pict4-13.jpg,images/user-manual/user-manual_asset-020_pict4-13.jpg,160.0,236.0,At original inline image position; nearest heading/caption: 4.9. Фотографирование с лампой-вспышкой,inline image
user-manual,Рис. 4.14,pict4-14.jpg,images/user-manual/user-manual_asset-021_pict4-14.jpg,161.0,119.0,At original inline image position; nearest heading/caption: 4.10. Работа со сменными объективами и съемка с близкого расстояния,inline image
