page,original,rewritten,status
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/g4a5c330d167445a637ff328821572502,end-of-term-projects.html,resolved_id
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/g4ee4d3445d84917641fd393b96451f1a,2-1-get-python-ready-install-thonny.html,resolved_id
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/g6957058f1d91e8979208959e5fc137f2,writing-good-code-an-introduction.html,resolved_id
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/g4ee4d3445d84917641fd393b96451f1a,2-1-get-python-ready-install-thonny.html,resolved_id
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/gbd446f1452526023e7fe392559617b6e,explorer-python-basics-hub.html,resolved_id
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/discussion_topics/g62a147605d9c060dd087e24ff1ddd27f,level-1-writing-code-from-zero.html,resolved_discussion
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/gbd446f1452526023e7fe392559617b6e,explorer-python-basics-hub.html,resolved_id
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/discussion_topics/g5d5e1af242465eff2dd3425d5da19758,pet-services-program-target-audience-decision-tree.html,resolved_discussion
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/discussion_topics/g7b7283028e86b9bedc8967e7fc4869a5,pet-services-program-generating.html,resolved_discussion
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/gf958bde4a2e897643a4db1519bd5055e,chapter-06.html,resolved_id
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/g6fc9b035a2396851348754671a85d867,chapter-07.html,resolved_id
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/discussion_topics/g7b7283028e86b9bedc8967e7fc4869a5,pet-services-program-generating.html,resolved_discussion
Welcome to Unit 1 - All about Python,$WIKI_REFERENCE$/pages/gdc2a5174dc9ec134f8e93954b18bc9bf,pet-services-program-a-worked-solution.html,resolved_id
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/discussion_topics/gd4a9b87ab0b84034c13d3719a165cc03,pet-services-program-feedback.html,resolved_discussion
Welcome to Unit 1 - All about Python,$CANVAS_OBJECT_REFERENCE$/assignments/g2bf43ba5942cc6437ff09232c30392ca,assignment-term-1-assignment-python-digital-system.html,resolved_assignment
