unit,title,filename,identifier,source_path,kind,from_added,module_path
Unit 1,Welcome to Unit 1 - All about Python,welcome-to-unit-1-all-about-python.html,g53238f8c04f4c6453af2f043fa6e66e7,wiki_content/welcome-to-unit-1-all-about-python.html,html,False,Unit 1 - Python > Welcome to Unit 1 - All about Python
Unit 1,Assignment: Term 1 Assignment - Python Digital System,assignment-term-1-assignment-python-digital-system.html,g2bf43ba5942cc6437ff09232c30392ca,g2bf43ba5942cc6437ff09232c30392ca/term-1-assignment-python-digital-system.html,html,True,Unit 1
Unit 1,2.1 Get Python Ready: Install Thonny,2-1-get-python-ready-install-thonny.html,g4ee4d3445d84917641fd393b96451f1a,wiki_content/2-dot-1-get-python-ready-install-thonny.html,html,False,Unit 1 - Python > 2.1 Get Python Ready: Install Thonny
Unit 1,Python Reference Wiki,python-reference-wiki.html,g3d056da269bdf3a152978c72df6dd7df,wiki_content/python-reference-wiki.html,html,True,Unit 1
Unit 1,Writing Good Code - An Introduction,writing-good-code-an-introduction.html,g6957058f1d91e8979208959e5fc137f2,wiki_content/writing-good-code-an-introduction.html,html,True,Unit 1
Unit 1,Mermaid.live – Building an Algorithm flow chart,mermaid-live-building-an-algorithm-flow-chart.html,g0d0184da6a1a9e24104cdfbeac3b8b4d,wiki_content/mermaid-dot-live-building-an-algorithm-flow-chart.html,html,True,Unit 1
Unit 1,EXPLORER: Python Basics Hub,explorer-python-basics-hub.html,gbd446f1452526023e7fe392559617b6e,wiki_content/explorer-python-basics-hub.html,html,True,Unit 1
Unit 1,Chapter 01,chapter-01.html,gef29e7ec282f8fe6ca3abad2dbddea0c,wiki_content/chapter-01.html,html,True,Unit 1
Unit 1,Chapter 02,chapter-02.html,g12772a566e33766c8fa833bd8d8a49cf,wiki_content/chapter-02.html,html,True,Unit 1
Unit 1,Chapter 03,chapter-03.html,ge817defdebb20c7f89f6c5219f91fc97,wiki_content/chapter-03.html,html,True,Unit 1
Unit 1,Chapter 04,chapter-04.html,ge44681a179c95ef86bc7aa6b98c81f83,wiki_content/chapter-04.html,html,True,Unit 1
Unit 1,Chapter 05,chapter-05.html,g8eb379821a9ee40c76cc552eacfa3b35,wiki_content/chapter-05.html,html,True,Unit 1
Unit 1,Chapter 06,chapter-06.html,gf958bde4a2e897643a4db1519bd5055e,wiki_content/chapter-06.html,html,True,Unit 1
Unit 1,Chapter 07,chapter-07.html,g6fc9b035a2396851348754671a85d867,wiki_content/chapter-07.html,html,True,Unit 1
Unit 1,Chapter 08,chapter-08.html,g4e3c97416930a98ffabd4aed61a3f7fa,wiki_content/chapter-08.html,html,True,Unit 1
Unit 1,Chapter 09,chapter-09.html,g4fcd22033573b40146417f0f88dd29e0,wiki_content/chapter-09.html,html,True,Unit 1
Unit 1,Chapter 10,chapter-10.html,g131b0fcc42963c93827b8a3bc50503da,wiki_content/chapter-10.html,html,True,Unit 1
Unit 1,Week 8 Lesson 1 - Challenge,week-8-lesson-1-challenge.html,g284c4ee147774556dadc595250bd4da5,g284c4ee147774556dadc595250bd4da5.xml,xml_discussion,False,Unit 1 - Python > Week 8 Lesson 1 - Challenge
